userId,movieId,tag,timestamp
34,2174,music,1249808064
34,2174,weird,1249808102
60,260,sci-fi,1441153065
60,260,space,1441153025
81,50,clever,1556863365
81,50,good dialogs,1556863396
81,50,mindfuck,1556863378
81,50,organized crime,1556863363
81,50,tricky,1556863389
81,50,twist ending,1556863355
81,4226,dark,1556734580
81,4226,mindfuck,1556734569
81,4226,plot twist,1556734586
81,4226,twist ending,1556734565
81,4989,weed,1556670082
101,1688,Animation ,1646963406
101,1688,strong female lead,1646963419
109,1,children,1257988285
109,1,Disney,1257988287
109,47,biblical,1257989227
109,47,Brad Pitt,1257989205
109,47,drama,1257989191
109,47,Gwyneth Paltrow,1257989211
109,47,horror,1257989188
109,47,Kevin Spacey,1257989203
109,47,Morgan Freeman,1257989200
109,47,serial killer,1257989216
109,50,Crime,1257989096
109,50,Kevin Spacey,1257989119
109,50,mindfuck,1257989099
109,50,suspense,1257989101
109,50,twist ending,1257989121
109,595,Disney,1257988677
109,595,fairy tale,1257988680
109,595,redemption,1257988684
109,595,seen more than once,1257988693
109,1025,Cartoon,1258081610
109,1025,children,1258081620
109,1025,classic,1258081607
109,1025,Disney,1258081587
109,1025,Disney animated feature,1258081589
109,1025,historical,1258081642
109,1025,King Arthur,1258081592
109,1025,magic,1258081602
109,1025,Merlin,1258081597
109,1025,musical,1258081595
109,1028,Dick Van Dyke,1257988551
109,1136,bizarre ending,1257988473
109,1136,british comedy,1257988501
109,1136,classic,1257988483
109,1136,witty,1257988478
109,1206,controversial,1257988775
109,1206,cult film,1257988778
109,1206,drama,1257988783
109,1206,dystopia,1257988781
109,1206,rape,1257988804
109,1206,violence,1257988796
109,1645,Al Pacino,1258081291
109,1645,deal with the devil,1258081331
109,1645,Keanu Reeves,1258081294
109,1645,religion,1258081302
109,1645,satan,1258081299
109,1645,temptation,1258081309
109,2081,Disney,1257988655
109,2959,Brad Pitt,1257989264
109,2959,dark,1257989274
109,2959,dark comedy,1257989253
109,2959,Edward Norton,1257989262
109,2959,mental illness,1257989255
109,2959,thought-provoking,1257989257
109,2959,twist ending,1257989260
109,3052,Alan Rickman,1259621306
109,3052,Ben Affleck,1259621283
109,3052,Catholicism,1259621301
109,3052,Christianity,1259621303
109,3052,controversial,1259621298
109,3052,irreverent,1259621311
109,3052,jay and silent bob,1259621296
109,3052,Kevin Smith,1259621292
109,3052,Matt Damon,1259621290
109,3052,Salma Hayek,1259621317
109,3052,satire,1259621326
109,4148,better than the book,1257978103
109,4720,ghosts,1257989160
109,4720,Nicole Kidman,1257989162
109,4720,surprise ending,1257989164
109,4902,ghosts,1258081246
109,4902,Guillermo del Toro,1258081214
109,4902,orphanage,1258081252
109,4902,orphans,1258081231
109,4902,Spanish,1258081242
109,4902,Spanish Civil War,1258081241
132,223,crude humor,1284917286
132,223,cynical,1284917288
132,223,funny,1284917291
132,223,good dialogue,1284917292
132,223,great dialogue,1284917294
132,223,jay and silent bob,1284917301
132,223,Kevin Smith,1284917296
132,223,slackers,1284917304
132,223,view askew,1284917300
132,318,based on a book,1284917421
132,318,Morgan Freeman,1284917423
132,318,twist ending,1284917426
132,3624,funny,1284917126
132,3624,Jackie Chan,1284917115
132,3624,Lucy Liu,1284917144
132,3624,Owen Wilson,1284917140
132,3624,Western Comedy,1284917134
174,4865,Atmospheric,1249437526
